project_index,bldg_proj_type,mat_group,mui,eci
102,New Construction,Acoustic ceilings,2.693538837728375,7.444593783544226
102,New Construction,Adhesives and sealants,0.16466477596950002,0.2038609547538675
102,New Construction,Air and vapor barriers,0.48836482310725,0.8679988169752699
102,New Construction,Aluminum,0.829233422848375,6.206823273384063
102,New Construction,Applied fireproofing,35.63211625380375,40.62061252933628
102,New Construction,Cladding,0.23507326606750004,1.4790308061146626
102,New Construction,Coatings,0.445451008356875,2.7114352752797215
102,New Construction,Concrete,871.6506310315588,144.97866228355065
102,New Construction,Doors and frames,0.831095049835,1.9345815535260924
102,New Construction,Flooring and tile,5.34318627421875,3.9770620467750675
102,New Construction,Glazing,2.00023159773625,2.6082805019444963
102,New Construction,Gypsum,36.8642938595625,11.6591517663228
102,New Construction,Insulation,10.158615138972126,87.35065176636755
102,New Construction,Masonry,104.115684890715,15.304042112412212
102,New Construction,Other metals,0.0457791050725,0.192484458046545
102,New Construction,Roofing and waterproofing,2.35508381365125,2.1321762547891274
102,New Construction,Steel,123.30514622971874,205.11386871259938
102,New Construction,Wood and composites,0.019581096125,0.005169409377
105,New Construction,Acoustic ceilings,46.10276875,2.71310625
105,New Construction,Aluminum,1.9038312499999999,14.770968749999998
105,New Construction,Cladding,0.276075,1.04581875
105,New Construction,Coatings,0.84485625,1.630575
105,New Construction,Concrete,790.0046249999999,103.89411874999999
105,New Construction,Doors and frames,2.9445062500000003,9.136475
105,New Construction,Flooring and tile,3.8065687500000003,3.7111937499999996
105,New Construction,Glazing,8.020468750000001,14.838012500000001
105,New Construction,Gypsum,55.407625,18.90578125
105,New Construction,Insulation,18.50735625,44.43435624999999
105,New Construction,Masonry,2.5635875,0.32433125
105,New Construction,Other,11.8417625,10.75583125
105,New Construction,Roofing and waterproofing,8.22479375,17.3517875
105,New Construction,Steel,137.97399375,259.71784375
105,New Construction,Synthetic composites,0.5390312500000001,0.34706875
105,New Construction,Windows and frames,0.02609375,0.21673749999999997
105,New Construction,Wood and composites,3.61754375,1.63465625
106,New Construction,Acoustic ceilings,1.5219606657216396,2.35529962929392
106,New Construction,Air and vapor barriers,0.3821509952188441,0.7757665202942533
106,New Construction,Applied fireproofing,14.699325565600788,16.757231144784896
106,New Construction,Coatings,0.9711798857240658,1.8101286734814876
106,New Construction,Concrete,1355.7601376547248,204.59815998493585
