mat_type,mat_group,GWP Intensity - No Filter mean,GWP Intensity - No Filter - Education mean,GWP Intensity - No Filter - Healthcare mean,GWP Intensity - No Filter - Laboratory mean,GWP Intensity - No Filter - Office mean,GWP Intensity - No Filter - Other mean,GWP Intensity - No Filter - Public Assembly mean,GWP Intensity - No Filter - Public Order and Safety mean,GWP Intensity - No Filter - Residential: Multifamily (5 or more units) mean,GWP Intensity - No Filter - Warehouse and Storage mean,Material Intensity - No Filter mean,Material Intensity - No Filter - Education mean,Material Intensity - No Filter - Healthcare mean,Material Intensity - No Filter - Laboratory mean,Material Intensity - No Filter - Office mean,Material Intensity - No Filter - Other mean,Material Intensity - No Filter - Public Assembly mean,Material Intensity - No Filter - Public Order and Safety mean,Material Intensity - No Filter - Residential: Multifamily (5 or more units) mean,Material Intensity - No Filter - Warehouse and Storage mean,GWP Intensity - No Filter median,GWP Intensity - No Filter - Education median,GWP Intensity - No Filter - Healthcare median,GWP Intensity - No Filter - Laboratory median,GWP Intensity - No Filter - Office median,GWP Intensity - No Filter - Other median,GWP Intensity - No Filter - Public Assembly median,GWP Intensity - No Filter - Public Order and Safety median,GWP Intensity - No Filter - Residential: Multifamily (5 or more units) median,GWP Intensity - No Filter - Warehouse and Storage median,Material Intensity - No Filter median,Material Intensity - No Filter - Education median,Material Intensity - No Filter - Healthcare median,Material Intensity - No Filter - Laboratory median,Material Intensity - No Filter - Office median,Material Intensity - No Filter - Other median,Material Intensity - No Filter - Public Assembly median,Material Intensity - No Filter - Public Order and Safety median,Material Intensity - No Filter - Residential: Multifamily (5 or more units) median,Material Intensity - No Filter - Warehouse and Storage median
Aluminum framed glass entrances,Doors and frames,0.5526931870737338,,,0.3292584569381603,0.7081013481241833,,,,,,0.0765867606226522,,,0.029285828565976,0.1023492864411982,,,,,,0.4822042863230864,,,0.1508707077718507,0.5924232855511328,,,,,,0.1033545852562826,,,0.0089793406577678,0.0977814694861266,,,,,
Aluminum framed window,Windows and frames,1.020207868650114,0.6696381146496486,0.2475882011836454,0.1900340722550405,5.964505201836191,0.5339560703633485,0.0690251865875785,0.9547759631088636,0.7531566599282925,0.6038045909766376,0.0651029091981522,0.0308101247708239,0.0290508932489483,0.022973109358127,0.7004119665563229,0.0511570501841173,0.0049116930411661,0.1263091226563291,0.0788767908515917,0.1598193999778862,0.0996538166961558,0.1366518842698995,0.0378127908066282,0.0068326922169707,1.1561887413184675,0.1055082664782496,0.0104510726300246,0.6051348791094957,0.385080856742215,0.3712704024323934,0.0068469535979517,0.0061100163363679,0.0069074203999031,0.0009417273117393,0.1020262658030137,0.0127230057059339,0.0002837857980222,0.0302045133811883,0.0278153909241189,0.0970066553033518
Aluminum sheet,Aluminum,5.410604146194293,2.2145940867110263,3.7752095769565375,6.517896110164425,6.263813342361845,5.059241217682825,7.922302253912032,24.498027653988053,2.789469437874408,4.067501006113599,0.9285505073388765,0.3736509611472803,0.5623728900539486,1.6033991926545246,1.0276620400542984,0.8092708202973394,1.3540464089636852,3.537760946971486,0.4843721104876816,0.6996130899982493,1.2335059203382517,0.7518729072726386,1.0719767160960456,2.907959761193317,1.4462937152320463,2.7025508702110663,1.6069007471570156,17.26203133061746,0.2537727981562283,2.4248812663403214,0.2012802550098565,0.1083397961998335,0.249460450508483,0.4476243439544954,0.2403521552546134,0.5135490403829359,0.3360657439790776,2.407741715663111,0.0392965978700291,0.324763710953788
Aluminum storefront or curtain wall,Windows and frames,4.453842537204256,4.420865729552508,6.844595033010635,11.630705860723284,11.03950106376836,12.169107723791369,1.2567931937260437,5.88685346250843,3.92967303980642,2.475605317660783,0.3117913637636479,0.2180552540013106,0.6640298043582843,1.7504580886281829,1.43543496320776,1.5230046617918174,0.1178251120180888,0.5950114441606917,0.5277130547831845,0.5454657947918279,1.499672034559368,2.043690466029497,3.3005441684221046,1.1297180849910786,7.591947576317197,1.6575728516672792,0.0087928571150454,2.483961106032804,0.9462472440285958,1.8076821068694124,0.0916132820002569,0.0971360080290718,0.5263898356976908,0.1209783770086838,0.766759662538094,0.1674028200877414,0.0001961956389816,0.261300859865917,0.0690977187788447,0.3777239318667529
Applied fireproofing - other,Applied fireproofing,1.199334362745395,,,,,,,,0.6497757137992322,0.0903578947368421,1.9384931507513528,,,,,,,,0.717656812952616,0.5905263157894737,0.5883082765438703,,,,,,,,0.141680576152741,0.0903578947368421,0.7300928330163129,,,,,,,,0.1259503632115206,0.5905263157894737
Architectural fiber cement panel,Cladding,1.0912478039865812,0.3838683794091844,0.2784329095028205,0.8364330645569589,2.0227790376422887,6.677093658767129,1.2278346538420994,2.791409011744571,0.4493254609465631,,0.672987890343405,0.3714934570872317,0.4634716452741572,0.2975296320259366,1.1289849034279096,3.907169492833018,1.0344946352692963,1.5407424619477703,0.6889571148069984,,0.3010128162550815,0.3789708393514135,0.1306257041225811,1.0335691214745362,0.1171219680966028,1.4265849835762563,0.1460557707012997,1.316360523487578,0.4212869681265018,,0.2346918735093548,0.1283784639221218,0.3796449693317781,0.3721308521606491,0.1820538547817949,0.843524071118399,0.3138591629016847,0.7790747906780392,0.3380721891831713,
Asphalt shingles,Roofing and waterproofing,0.5903007155819936,0.677041233529248,,,,,0.3618336684495198,,0.1860138633961103,1.0764546763150358,1.0387709423585303,1.3698240031413869,,,,,0.7435496953815413,,0.4394506341171484,1.5057417578043093,0.5300694728844335,0.5448586029676818,,,,,0.3423777652333631,,0.2302979406278839,1.1524086137469538,0.7229006219273133,0.9366250547036424,,,,,0.4562055903682366,,0.4375127992547769,1.049552400497978
Brass,Other metals,0.0130955821940078,,,0.0325954737821856,,,,,,,0.0088895741323537,,,0.0286204977831463,,,,,,,0.0048218574489928,,,0.0112107703815581,,,,,,,0.0026391054270632,,,0.0086688802009178,,,,,,
Brick clay,Masonry,2.9533061273455243,3.5545437982671992,3.2728262408686684,3.438603510596941,2.0201529812072527,4.940435403562108,3.37857355972671,,2.156415185103853,0.2070475830539081,12.17281452527131,9.93291562480266,13.01787332064322,16.956118674862317,8.246568959083305,24.33249533420304,13.63663063559045,,12.721312889008294,1.039416038203527,1.9411034959064364,1.6318016989174902,2.93690122615194,0.6652362418651876,0.531383779024977,2.7185256576848684,4.3383439480374735,,1.2936244660888956,0.1435554409690645,10.588163212647643,3.933144140712153,16.374167782829005,9.653305136385658,6.397557556489489,13.330015214020673,9.338370762374783,,6.513457079675207,0.718323450489824
Built up roofing,Roofing and waterproofing,0.2033879095765482,0.4058440201091953,0.0088029855575847,0.065489438171515,0.3554952244502248,,0.3640101864098382,0.751915544044396,0.1321898232832243,,0.0973736440820919,0.1116886470605504,0.0219736173561175,0.1534946958753218,0.0609856380398389,,0.7566420288600776,0.0970333736114027,0.1839836249193461,,0.1010317614172027,0.3266087719160036,0.0042982819960285,0.038077936970533,0.1796565270294391,,0.3444372511801445,0.7086416749399266,0.1070743559650722,,0.0232457051930497,0.0763677559474525,0.0196591622977385,0.0879578791808232,0.0273418739998996,,0.4642384034552068,0.0609707500023696,0.048836577489071,
CMU,Masonry,2.18308781736845,1.6642561643491895,0.6391487894723824,1.5163830152320228,2.925934588313532,2.118304629060784,6.349063470961289,18.135119523613955,1.8576074189968648,2.3578926084829672,15.892859938200788,9.916980194637889,4.40421126813895,13.934902413715829,23.95694818729999,12.92291395071904,39.98850974740255,158.50114410857515,10.704453536828924,23.76812598265195,0.5307084477895166,0.4700053730051177,0.4074492045259129,0.5624554714293835,1.5108684782840949,1.592915869945006,3.2679456568438505,17.52332477629787,0.3184298205864095,0.168281183064014,5.809303375428007,2.8346098939637447,4.426252768929144,2.016259732708895,10.601012358481324,12.561856429550026,18.15105106139766,154.77465571696294,3.748815157091568,0.997542136011383
Carpet,Flooring and tile,0.2896855136880406,0.973772712724784,0.4395313518944856,0.6972895502698454,0.2573816156711637,0.2708482816410881,1.1202242315938575,0.8648810974650707,1.2344802424826529,0.1838183240797602,0.0583135348343571,0.2385237814578298,0.1442491222619982,0.1502744808721079,0.0705550210009979,0.0765926542114254,0.2528627640804794,0.2404347502126087,0.26678047812093,0.0276367646518808,0.1092367754453697,0.3623613283200409,0.0917184822588423,0.3962227822533209,0.1191865413858921,0.4097091745789421,1.3132413149605318,0.552373368552913,0.5898603731787806,0.1354706049297278,0.0228696287515951,0.110930363033964,0.022586314397372,0.1190776877124069,0.0302765608818057,0.0435046430308771,0.1948243006674481,0.1974422571211856,0.1646901980019763,0.0160030837959612
Cast bronze,Other metals,0.33571603445993,,0.0926495808829463,1.644893440827857,,,,,,,0.0499064837084882,,0.0172355315518605,0.3162906805259052,,,,,,,0.1236122867639794,,0.0208612822865379,0.5657387522721172,,,,,,,0.014816060931576,,0.0012511735775889,0.0958014790280993,,,,,,
Ceramic tile,Flooring and tile,0.0560180886383041,0.1586395624798482,0.1328370944548524,0.1845985197823997,0.0286918917396622,0.5315403666863195,0.3361623237432662,0.1507506671521089,0.1388657533607593,,0.1854588294414335,0.6894936286505052,0.546003194563188,0.7548917582804459,0.0978767911272151,2.4151656715583933,1.336555198896241,0.668613382072189,0.5282349814537448,,0.0300659376559012,0.1013754473461191,0.0471412284721253,0.1726345828234694,0.0095836739509875,0.564920640168319,0.5211610408498168,0.0749778704982506,0.067258095021428,,0.0985766539566768,0.4963323725176773,0.2202048362837652,1.043585588595266,0.0331802171007512,0.9570229517555784,1.2988603390830324,0.4275781139543835,0.2678528437146767,
Cladding - other,Cladding,0.9979863823077452,0.0174756896353323,,,,,1.739814699506319,,,0.0511520804727859,0.2448983741361489,0.0029966028847218,,,,,0.6351708851348683,,,0.0149228624382783,0.8726754534187234,0.0206752378615853,,,,,1.8021693504500995,,,0.0239895217172963,0.2005710323166688,0.001501599459489,,,,,0.8490143023422486,,,0.0034013612838874
Closed cell spray polyurethane foam,Insulation,1.2983712716291935,2.789629338312088,0.0093043288490593,0.5377523212071186,1.7862166196642513,5.240972392861254,0.3609260576252063,,0.4784998867770979,0.0019927302630888,0.2563411605830867,0.658491282939532,0.0022997455671039,0.0293568522741626,0.4889579586064058,0.4935433971441262,0.0831568909705075,,0.1160763457804935,0.0031294590694906,0.5587384439927516,0.9083538891336548,0.0106483590771792,0.9006769300308242,1.1776575011147534,8.62546041140189,0.2682905154335991,,0.0790099143838869,0.0017024212595575,0.0502107353343496,0.2533631814569911,0.0025223638767006,0.0423338930950219,0.3723215160681125,0.6333517471319604,0.0444757459982907,,0.0196381805467275,0.0029194023463041
Coatings - other,Coatings,2.6792428226682623,2.0333367423658286,1.9553480904538971,4.70018946383374,3.076901652397026,4.270104163511599,3.0091271921359133,8.105797281614192,0.71374244545356,2.832797220633181,0.2172503137583258,0.1837734491560933,0.1297542082080262,0.3466040554187348,0.2131126992385141,0.3489982580346817,0.2552952101943185,0.6331067929335001,0.0737232649800901,0.3695462367755097,1.1508588323690727,1.4135657934929744,0.900920426152686,2.6105226297413604,1.1583780256208016,1.2387812180950868,1.8415003133487768,5.501197075232221,0.287380864731547,0.8988958043061787,0.1250177728203732,0.1564499860515575,0.0720632437309706,0.1349561137949093,0.0815091226711583,0.224460202134949,0.1636201461071687,0.430978131661727,0.0490935525051805,0.3020509896554436
Cold formed steel framing,Steel,7.97677630756348,10.650011925647346,10.2184705897816,7.441869246260634,10.113334112514268,8.375923967455195,7.575865857235161,10.245854811630482,6.756164273072987,2.333150904628959,3.652914652165115,4.61033801747182,4.282644621955597,4.118499954173385,4.738341021175707,3.832405393589809,3.106358825686278,4.872976927764137,3.3568021037650246,1.1057857004552398,7.44353896313195,11.536288434353986,14.838917857501812,8.974112552824728,6.990804581510158,9.663512175837148,7.288156749584432,11.931893087681278,6.872755057033375,0.454338363144645,3.6019644339217334,4.89711052264399,6.56339844747626,4.918314322263181,3.122599709746257,4.400599782117149,3.107081420161669,6.551538635307705,2.6047580614864883,0.2819727691876871
Concrete - other,Concrete,1.0401430099658475,0.6718255822031074,0.0880705381552184,0.7617756698696989,0.4289119802984196,5.754328195141083,0.29648119907859,0.1274502118911794,1.776204696392633,,6.401728257658443,3.5846554473273025,0.4584059043932147,3.291462808495744,1.803738901540243,34.90872598930764,1.626427750538212,0.6568749496246883,11.02627947356163,,0.2827849435971701,0.1046176804275482,0.0499841962856599,0.4406132308044348,0.1090371131001919,1.323039814936967,0.129612006589144,0.0673202748367898,1.0871651885302125,,1.4799321857538206,0.7120191260538239,0.31349859525766,2.2409735742776284,0.9004621182594778,4.460550838422635,1.0050977581237948,0.3607850804040273,5.162419557710416,
Copper sheet,Other metals,0.3851560425454297,1.211647373423074,0.730919266124607,,,,,,,,0.2503740400070568,0.7742473832517467,0.5945909935997297,,,,,,,,0.0405280323449172,0.1939081520540881,0.1091316890799163,,,,,,,,0.0212419473486437,0.0396354608866225,0.028621680923569,,,,,,,
Cross laminated timber CLT,Wood and composites,4.517465044242704,7.14578405915875,,,4.174051886231852,2.7032347279179807,7.73939161007747,3.622980099883146,4.069058375806463,0.0475226970297868,13.970155830269103,18.934855780648174,,,13.222061302927418,16.615525360655795,22.584213254297257,10.532120972352931,12.466113356443024,0.1414516120973704,1.3886295027292086,1.3241059040207357,,,1.5725701221634043,1.2445438200220371,2.017224545282684,0.3875471361581482,0.6692695377230464,0.0502137228975411,3.48983739210643,3.1658073156306266,,,1.7691602821899437,19.189608511086565,3.772223573463881,1.7762341303577918,1.8929844131442684,0.1476113204276208
Decking,Steel,15.389399538996123,17.68951043717488,15.646436748268712,23.157287408854643,18.87216129843772,13.067622155510396,15.77799869509916,21.41714329978629,7.047803537971474,16.499295355804918,6.200328046233451,7.2692996972693456,6.30768798938624,8.894673032825743,7.850912572286859,5.118285381979756,6.36037913205843,8.516391754774132,2.8540141680930757,6.254738896635994,17.374663104320405,12.087874596041075,21.70333472879178,29.758833216748855,18.759939503487978,13.038188826592076,15.724194180740394,24.673545375982577,0.312161251190331,18.352229112626688,7.25664317429277,4.8977785029496665,9.5995971425905,10.685489225393672,6.697605710815158,4.406644137540415,6.963485838524344,10.225091602955407,0.1036311398331493,6.136768064210001
Doors and frames - other,Doors and frames,0.8323108727777623,0.518013858746657,1.832418121060028,0.7543793482523701,0.745497575139511,0.9244342093726414,1.082120043923659,1.7938487987510714,1.2912814984600227,,0.1811518664601943,0.1444024164815863,0.3679469764521252,0.1680019693649769,0.1647801279197595,0.1220229347786142,0.2011690728597176,0.357558327514096,0.2114823004909171,,0.8929665959598204,0.4511880063082636,1.999165353755649,0.2621541513090611,0.4538631844965502,0.7177563296898372,0.8577140425229562,2.149759567983017,1.7685649403192547,,0.1609575794282795,0.119812976619349,0.3839226338907666,0.0476136272201234,0.1054864558439728,0.1866136039321633,0.1488143109168342,0.3771705290166304,0.2519183340890042,
EPDM,Roofing and waterproofing,0.5392672526014898,0.7005619187650183,0.3624921922390242,0.2269514736616168,0.3226529594976233,0.5661537077898928,0.618963225921888,0.9929590436391332,0.1933584679490554,1.1362195860875668,0.102464624112583,0.1256316063281923,0.1073220362319034,0.0634276474062777,0.0814415863876941,0.190786854634752,0.1556403390170203,0.2113200857964118,0.0540011884287623,0.2078252855786234,0.220577128063967,0.1624040093017932,0.0223870810931575,0.1052554087509402,0.2948963546749193,0.4513981376440142,0.2939318972607775,0.7960280162058301,0.06615819135792,1.216390496437496,0.028437402095138,0.0272921523444418,0.0122520262878442,0.0292111341708667,0.044586192233419,0.1999789454978437,0.0488441214405443,0.110925154340056,0.014908571756395,0.1448611797027482
Expanded polystyrene EPS,Insulation,1.1984604690088223,0.5963316762897978,0.6673033500594259,0.0344242587309444,1.685913474477967,0.5950217000139727,2.093356984132229,1.522880988413027,0.7430803455879852,1.6961592298449353,0.3497003924994726,0.1982297696337066,0.1883845691703452,0.0107095480226367,0.4997357195774831,0.1513550437070789,0.581996387381944,0.6373345507738928,0.204527296007155,0.6829449129973506,0.7361458055472958,0.3523127387554492,0.5623580679058553,0.0437957383480533,0.8081917868436971,0.9792717329300084,1.9604860242057445,0.9024477768309308,0.9021469986667964,1.07714562776316,0.2386107811583167,0.1431624478724165,0.1521476549199542,0.0117308741050008,0.2647588266570354,0.1942300959222822,0.6221994360536781,0.5883479624370185,0.22385318339289,0.4606204099696952
Extruded polystyrene XPS,Insulation,17.213438052693892,19.502495865437535,8.573539866301159,13.064010257290082,9.062642792219227,41.54236614593181,39.89334452963757,14.060603275685668,11.0820795375717,9.587622146994006,0.4164091353576102,0.5190978950940227,0.1210306022780174,0.3889072947572948,0.2947627749410428,0.7691178148218694,0.9554120447826948,0.6565943825596229,0.2780981353826705,0.3067499887496838,7.817563493057235,8.382707610776883,5.1991954051604905,9.633063450627256,5.179467114172224,9.04698890030924,17.274784139795695,8.332207351453789,5.457164187883037,1.152993812930119,0.2824367610532919,0.3445710326052934,0.0703398559462996,0.4078376546658996,0.1827337213168938,0.4983731818663073,0.4606337091021381,0.6061274516774097,0.1844387230008438,0.0867494977577359
Extrusion,Aluminum,12.995932958153285,12.008716939494986,6.770911727191805,18.06316556764572,18.11426961321908,25.492360876491254,6.627181171074647,8.774075872753095,7.598243946963913,18.612524456095446,1.5034022485653793,1.453597695348224,0.7830608890315046,2.1855434027451643,2.149779811017864,2.268760585340605,0.7382689036885707,1.0053591750204829,0.8886160218290704,2.4648289303389626,10.134658037514429,13.533895963358782,10.751126435840488,18.715674822243223,12.288829568692494,14.348592380757552,4.638356470438556,6.804276539489107,8.76076633748845,3.579755422763278,1.2028062316969093,1.4740337243120905,1.544682079034055,2.522346264104512,1.2668061434362017,1.8774936243495035,0.624512099679139,0.6151182812759382,0.9794917901056652,0.1845868103489253
Fasteners,Other metals,0.0240856702258593,0.0173620798259077,0.0968028948846956,0.0550130194923259,0.3529653031593889,0.2234882837924487,0.115818260788775,1.2442464715011448,0.206303948754298,,0.0037596353261113,0.0029684758407163,0.0171196179879731,0.0104228968546368,0.0751290850733156,0.0401056389288794,0.0216296838563775,0.2409913357922502,0.0405108120060824,,0.0031438431502869,0.0012510091365815,0.0056115232652274,0.0083600198843569,0.0581943407445391,0.0233285386752446,0.01536102150513,0.6541403689317631,0.0944080054076045,,0.0003689874298076,5.2203845471802826e-05,0.0003662454700364,0.0016003313646561,0.0114730630297165,0.0054253228643819,0.0033066384044722,0.132184480249044,0.0198717867780728,
Fiberglass blanket,Insulation,1.7122206331015095,1.358743876647278,0.6073035659449956,2.3294698399921816,1.4846853209778996,1.9291823844682,2.290811213223166,0.8346636942594422,1.807166250530952,2.107081234228123,0.7379854327771281,0.6719207387791155,0.2708652065212827,0.8519672063019794,0.7058244364041797,1.0254054338965464,0.8261619839233836,0.5501070857557697,0.8539767517861514,1.0759291125847046,1.2347656616160014,1.1062966018243676,0.5414693912455888,0.9717643073707196,0.8233982588999736,0.9434407749481564,1.1591302901383724,0.495512388627967,1.4057048590300394,1.5962262593846384,0.6181846924854311,0.7092322706138783,0.2568871100797821,0.3599771744372301,0.3862631308770092,0.3420835947835846,0.5120092548698006,0.4704813791101629,0.5535136949972341,0.9091091724307864
Fiberglass door,Doors and frames,0.3163318631394785,1.7504439907077038,,0.0800020934542285,0.2442082484333607,,,,0.1658423222224533,0.0475813823266354,0.068856350811185,0.3109735913288757,,0.0103491627710285,0.0360532097117194,,,,0.2675773009423777,0.0062001396138623,0.1180508833839253,1.854766786833748,,0.0332162330430218,0.1901777015792757,,,,0.2113247724361699,0.0480577721990885,0.015815993476006,0.3433339249177153,,0.0028752272501757,0.0320611876491226,,,,0.3185708232383795,0.0060950641576666
