project_index,bldg_proj_type,mat_type,mui,eci
109,New Construction,CMU,57.84860177655738,6.479043398974427
109,New Construction,Carpet,0.01131531264262295,0.059631697626622945
109,New Construction,Ceramic tile,0.028911556496721315,0.007793831156967213
109,New Construction,Coatings - other,0.806591562949836,11.017236472751197
109,New Construction,Cold formed steel framing,0.9180411684070492,2.5289302595844556
109,New Construction,Concrete - other,7.577130732344263,1.293673468038555
109,New Construction,Decking,11.706489837868851,30.20274378170164
109,New Construction,Doors and frames - other,0.14061243217819672,0.9311505761702984
109,New Construction,Extruded polystyrene XPS,4.532359764672131,294.57421892327926
109,New Construction,Extrusion,0.9966125270659016,6.123425502708346
109,New Construction,Fasteners,0.5229679000081967,3.022754462047377
109,New Construction,Glass mat gypsum board,1.0164303799508196,0.4807715697167377
109,New Construction,Glazing - other,2.042140138372131,2.394907295388
109,New Construction,Gypsum board,13.57049975234918,2.7913222967512197
109,New Construction,Hardwood,0.10396832931081967,0.046116961646733276
109,New Construction,Hollow structural sections HSS,56.068551872863935,139.44490389948515
109,New Construction,Hot-rolled sections,78.10319239383935,75.42237303527544
109,New Construction,Insulated glass unit IGU,0.8691886868196721,1.1647128403383606
109,New Construction,Insulated metal panel IMP,5.138232125655738,21.57489158645787
109,New Construction,Modified bitumen,3.679291235245901,3.024377395372131
109,New Construction,Mortar and grout,35.32693925603951,6.646915774628612
109,New Construction,PVC,0.028627631147540984,0.08874565655737704
109,New Construction,Paint,0.7586805381422951,1.8187840831264444
109,New Construction,Plate,1.1399580250934425,2.663079731783295
109,New Construction,Polyisocyanurate PIR,0.30891409929508196,0.9205640158993443
109,New Construction,Precast,6.959216547540984,1.0856777965264048
109,New Construction,Ready mix LW 3000,0.47318096916393443,0.13437743814896402
109,New Construction,Ready mix LW 5000,33.82486523704918,12.45402065509511
109,New Construction,Ready mix NW 2500,0.18330149788524588,0.025912906629347893
109,New Construction,Ready mix NW 4000,637.4553946793443,119.75052219554654
109,New Construction,Ready mix NW 5000,341.8828782652131,76.6045330201912
109,New Construction,Ready mix NW 8000,27.31374267377049,7.3724970593313826
109,New Construction,Rebar and reinforcement,51.941658983821306,97.59838632870199
109,New Construction,Resilient flooring vinyl,0.15608827793442623,0.39334246039475407
109,New Construction,Softwood plywood,0.006177433449180327,0.0016308424305836065
109,New Construction,Steel door,0.2092517232262295,0.6720768398940328
109,New Construction,Steel door frame,0.0020225328786885243,0.005561965416393443
109,New Construction,Steel sheet,4.49965971907541,10.484207145445705
109,New Construction,Suspension assembly,0.05679593795311475,0.13801412922606884
109,New Construction,TPO,0.0958061482295082,0.30562161285213113
109,New Construction,Wood or composite door,0.008969864662295083,0.004745058406354099
11,New Construction,Acoustic ceiling tile fiber,0.5147232337280702,0.7000235978701755
11,New Construction,Aluminum - other,0.002619823900877193,0.014723410322929825
11,New Construction,Aluminum door,0.020732046824561402,0.13496562482789473
11,New Construction,Aluminum door frame,0.031266686923684214,0.27358351058223684
11,New Construction,Aluminum sheet,0.14029340999999998,0.9988890791999999
11,New Construction,CMU,35.558999698596494,3.9826079662428073
11,New Construction,Ceramic tile,0.5146745444736842,0.13484473065210525
11,New Construction,Coatings - other,0.06909722914736842,0.5367303407036405
11,New Construction,Cold formed steel framing,1.1176486835395614,3.0098342111469436
11,New Construction,Concrete - other,3.607756552368421,0.4637069357250899
11,New Construction,Decking,0.2011592292982456,0.47674737343684215
11,New Construction,Doors and frames - other,0.4981916158132456,1.5994264859516185
11,New Construction,Expanded polystyrene EPS,0.779071504122807,2.531982388399123
11,New Construction,Extrusion,2.7381752874370178,24.341890009008747
11,New Construction,Fasteners,0.0021990367592982455,0.00923480659323421
11,New Construction,Fiberglass blanket,0.4589827726705263,0.9455045117012842
11,New Construction,Glazing - other,2.1244493740350876,2.3368943114385967
11,New Construction,Gypsum board,23.45552037565342,4.761746410034844
11,New Construction,Hollow structural sections HSS,2.34363263677193,6.046572202871579
11,New Construction,Insulated glass unit IGU,5.018658796761403,6.911280193544113
11,New Construction,Mortar and grout,42.065681771999124,7.851231983054793
11,New Construction,Other,0.010542365907017544,0.029940319175929826
