project_index,bldg_proj_type,mat_group,mui,eci,bldg_prim_use_recat
128,New Construction,Glazing,3.810166953125182,5.749883786231257,Public Assembly
128,New Construction,Gypsum,63.33821503025821,15.916653534998108,Public Assembly
128,New Construction,Insulation,10.851552775739007,31.010355416365773,Public Assembly
128,New Construction,Other metals,0.0911636975652376,0.5269261719270736,Public Assembly
128,New Construction,Roofing and waterproofing,16.523420183699336,28.420282715962852,Public Assembly
128,New Construction,Steel,38.03014548526976,71.76573321633539,Public Assembly
128,New Construction,Windows and frames,1.4493249469714256,14.493249469714256,Public Assembly
128,New Construction,Wood and composites,144.36276541496605,34.07112842013115,Public Assembly
129,New Construction,Acoustic ceilings,1.237853320946246,6.693789991618718,Transportation Hub
129,New Construction,Adhesives and sealants,0.4021640136435021,0.9521143411307113,Transportation Hub
129,New Construction,Air and vapor barriers,0.770695906277416,0.6921391035829897,Transportation Hub
129,New Construction,Aluminum,7.004318246371816,46.19546491967784,Transportation Hub
129,New Construction,Applied fireproofing,0.604142072301445,1.5284794429226556,Transportation Hub
129,New Construction,Cladding,17.184504452519604,63.79369751861964,Transportation Hub
129,New Construction,Coatings,2.7269555781251764,29.722776676887488,Transportation Hub
129,New Construction,Concrete,815.3612800586858,145.36099095284803,Transportation Hub
129,New Construction,Doors and frames,2.048571478403985,8.411134495414982,Transportation Hub
129,New Construction,Flooring and tile,7.713326002757486,2.094550582756304,Transportation Hub
129,New Construction,Glazing,7.991760277618781,10.401184929962634,Transportation Hub
129,New Construction,Gypsum,34.12184980411461,8.632558359615,Transportation Hub
129,New Construction,Insulation,9.256216351195247,47.05376078229961,Transportation Hub
129,New Construction,Masonry,66.44438307458928,10.974392806712563,Transportation Hub
129,New Construction,Other metals,0.178106901149605,0.9943383047244712,Transportation Hub
129,New Construction,Roofing and waterproofing,1.5445569509656267,0.9730708791083448,Transportation Hub
129,New Construction,Steel,190.77725831715043,301.31181616916024,Transportation Hub
129,New Construction,Synthetic composites,0.0822454624964309,0.443303042855763,Transportation Hub
129,New Construction,Windows and frames,0.4656028726392364,4.841482346218871,Transportation Hub
129,New Construction,Wood and composites,133.56828287490043,46.23891808049139,Transportation Hub
13,New Construction,Acoustic ceilings,0.06447,0.0552666666666666,Warehouse and Storage
13,New Construction,Air and vapor barriers,1.3971437037037036,4.3451170370370376,Warehouse and Storage
13,New Construction,Coatings,0.2924588888888889,0.5644455555555555,Warehouse and Storage
13,New Construction,Concrete,893.7442825925926,113.86208148148148,Warehouse and Storage
13,New Construction,Doors and frames,0.4257585185185185,4.856814814814816,Warehouse and Storage
13,New Construction,Flooring and tile,0.0125496296296296,0.0094122222222222,Warehouse and Storage
13,New Construction,Gypsum,2.5012974074074075,0.697014074074074,Warehouse and Storage
