project_index,bldg_proj_type,mat_type,mui,eci,bldg_prim_use_recat
102,New Construction,GFRC general,1.166274182475,0.28690344888885,Public Assembly
102,New Construction,Glass mat gypsum board,13.4577553636875,6.365518287024187,Public Assembly
102,New Construction,Glazing - other,0.0597056601375,0.1009025656323749,Public Assembly
102,New Construction,Gypsum board,23.406538495875,5.293633479298612,Public Assembly
102,New Construction,Hollow structural sections HSS,5.92335250408375,15.301608948858076,Public Assembly
102,New Construction,Hot-rolled sections,41.58420835873125,97.15987048042562,Public Assembly
102,New Construction,Insulated glass unit IGU,1.9405259375987505,2.507377936312121,Public Assembly
102,New Construction,Mineral wool high density,8.5627159583025,10.874649267044177,Public Assembly
102,New Construction,Modified bitumen,1.94682195067625,1.2282265360958775,Public Assembly
102,New Construction,Mortar and grout,57.098323767465,10.038097666608213,Public Assembly
102,New Construction,Open web joists,4.5699091612450005,6.3064746425181,Public Assembly
102,New Construction,Paint,0.243167297881,0.5793938313887138,Public Assembly
102,New Construction,Precast,59.59895008757125,9.641104317547263,Public Assembly
102,New Construction,Ready mix NW 3000,12.7851598125,1.809904872502236,Public Assembly
102,New Construction,Ready mix NW 4000,563.2249384660125,88.79649630418145,Public Assembly
102,New Construction,Ready mix NW 5000,233.62050945437505,44.19559894793076,Public Assembly
102,New Construction,Rebar and reinforcement,59.00258276293512,55.108412300581406,Public Assembly
102,New Construction,Roll formed metal panel aluminum,0.22549881263375,1.456722329614025,Public Assembly
102,New Construction,Roll formed metal panel steel,0.00957445343375,0.0223084765006375,Public Assembly
102,New Construction,Roofing and waterproofing - other,0.147176071,0.071086042293,Public Assembly
102,New Construction,Softwood plywood,0.019581096125,0.005169409377,Public Assembly
102,New Construction,Spray applied cementitious,35.63211625380375,40.62061252933628,Public Assembly
102,New Construction,Steel - other,0.016081470085,0.0398352393394125,Public Assembly
102,New Construction,Steel door,0.30444070727625,0.9595259971679376,Public Assembly
102,New Construction,Steel sheet,0.45537495635,1.26485475325525,Public Assembly
102,New Construction,Suspension assembly,0.6388796414858751,1.5524775288106762,Public Assembly
102,New Construction,TPO,0.261085791975,0.8328636764002499,Public Assembly
102,New Construction,Wood or composite door,0.36682999025375,0.13803761259394,Public Assembly
105,New Construction,Acoustic ceiling tile fiber,3.71163125,0.33499375,Education
105,New Construction,Acoustic ceilings - other,2.6818875,2.2792375,Education
105,New Construction,Aluminum - other,0.38284375,0.975625,Education
105,New Construction,Aluminum storefront or curtain wall,0.02609375,0.2167374999999999,Education
105,New Construction,CMU,2.4622375,0.26615625,Education
105,New Construction,Carpet,0.071475,0.1177999999999999,Education
105,New Construction,Cold formed steel framing,29.36310625,47.12520625,Education
105,New Construction,Decking,65.81125,154.9966375,Education
105,New Construction,Extruded polystyrene XPS,2.7273875,24.37075625,Education
105,New Construction,Extrusion,1.5209875,13.79534375,Education
105,New Construction,Fiberglass blanket,4.17403125,10.40350625,Education
105,New Construction,Fiberglass door,0.59850625,4.54269375,Education
105,New Construction,Flooring and tile - other,3.73509375,3.59339375,Education
105,New Construction,Glass mat gypsum board,23.40915,9.13768125,Education
105,New Construction,Glazing - other,2.89181875,5.0317625,Education
105,New Construction,Glue laminated timber GLT,0.563675,0.1411125,Education
105,New Construction,Gypsum board,31.998475000000003,9.7681,Education
105,New Construction,HDPE,1.0899375,2.18045,Education
105,New Construction,Hollow structural sections HSS,2.8803125,6.883943749999999,Education
105,New Construction,Hot-rolled sections,36.19131875,44.131775000000005,Education
105,New Construction,Insulated glass unit IGU,5.12865,9.80625,Education
105,New Construction,Mineral wool high density,7.3024125,6.1249875,Education
105,New Construction,Mineral wool low density,4.3035250000000005,3.53510625,Education
105,New Construction,Modified bitumen,3.36295,3.41824375,Education
