mat_type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Aluminum framed glass entrances,7972.223487236461,8183.799086876437,8679.043966428559,8896.249314685598,9265.996587196456,10038.999987534084,9695.427885454803,9534.806270057068,9989.117923466089,10475.148197995319,10858.472334652572,11110.728982589651,11041.791203021923,10764.212875951323,10486.205849353066,10192.947389222001,9923.960564556026,9713.714117609685,9516.396364870889,9344.66697977668,9220.3822781434,9139.347341694986,9108.766101429963,9129.033728760907,9186.206345773831,9270.744780073144,9374.533930242766,9487.02206487317,9601.581095915222,9712.848130683322,9815.073799033722
Aluminum framed window,36962.255847633496,36102.441503352464,38608.12065720342,44582.42663737127,45897.14552796615,49153.04028530074,47796.553805859905,47229.99312320049,49156.947946811924,51090.32592795598,52496.01020299417,53423.304094237625,53148.586636772714,51915.2070219146,50624.12394783994,49382.524981203715,48353.92015824921,47523.64512939323,46761.5925709519,46076.40779004813,45682.339705751925,45376.965992514924,45193.48039346948,45258.274772625526,45469.76519402723,45800.32560191267,46195.76736799075,46689.126135469014,47137.50085747857,47576.67433418602,47988.382129841884
Aluminum sheet,286301.20507956424,267830.8131989135,268827.3282933434,316821.6010159624,325320.6570981132,343164.560071166,337126.71458906133,335510.2917190541,345580.39978567563,354166.4965670714,358706.9403027114,361498.05333198793,360081.2582363973,352926.989914551,344764.1283575038,338367.11117908126,334241.254652297,330219.53864365484,326644.3440050059,323138.08283003536,322737.9679215363,322002.32768058695,320227.43405557994,320336.7103374937,321193.0965980969,322625.25047790667,324041.24828227033,326238.3019851538,327716.27022727026,328950.2191577799,330235.9934327577
Aluminum storefront or curtain wall,117404.8449817974,118531.01392627523,123150.90222964436,137159.0839150338,139617.1833864267,148767.23356255103,145098.086975578,143690.8310514174,149302.40099694004,154759.17425374314,158615.0997915577,161240.45479680394,160583.51952611492,157021.9403198933,153222.5072609681,149687.1600423149,146949.14109894622,144784.3758673126,142848.25527405602,141079.37752808802,140161.77241675,139297.94909847845,138789.0095354232,139001.30963210473,139605.19449242324,140578.1400162856,141752.4435958532,143396.64589064257,144804.07567000258,146248.4201126098,147614.40314321505
Applied fireproofing - other,173960.2917074442,184805.82211550558,187226.5422053167,178460.48974960012,181877.51068259595,194870.0985346152,189641.3098540155,187559.88358143176,195700.9490685924,203923.5465362041,210122.1476709078,214433.72417562912,213681.2877647708,208920.39696214892,203943.94704217272,199051.6378219478,195065.07818628434,192061.30564971926,189359.16765943338,186956.4019444065,185481.0673359334,184245.0295651521,183825.31794822423,184337.1942161126,185422.62394524904,187049.83806399992,189035.81705333,191635.86344343788,193998.5701295477,196448.09971222526,198751.5885227077
Architectural fiber cement panel,376142.8939857825,326226.34882594866,324722.6236216891,411108.09425372246,420340.6198426378,437879.7166493059,433311.0398243042,433301.78500788077,442511.1985475876,448270.356530871,448509.2295820915,448117.6730068042,446524.6854465103,438567.4670840065,428739.26233140804,422579.48634133686,420137.85121589625,416602.00800240546,413625.50900724414,410265.8263338213,411856.9542202303,412004.83424984146,409013.1289534302,408525.99393672345,408681.9339682318,409313.4353938761,409464.5913256859,410770.905901158,410721.28879328637,410214.85028972244,410005.97463065945
Asphalt shingles,275789.42031719116,278794.98141042615,270305.6121216515,291428.51509540057,299861.2496198827,317752.4731196038,311793.90783022984,310147.2062585941,320563.2126043286,329962.5081107796,335705.5112200128,339493.46410188364,338457.5425885851,331852.95481287397,324420.94216201094,318305.80201801605,314113.9130879973,310283.527018954,306862.17619436234,303602.5510825062,303020.58067618177,302352.4406926357,301127.52157663077,301651.4808242432,302954.73339319834,304866.6678153581,306879.0393069942,309597.1938636719,311749.19505940325,313712.54323985503,315675.39549478533
Brass,606.2002301118001,646.5872143817355,658.2700636262626,598.8876912784419,624.399451550231,677.1611833455473,654.6364604937153,644.4318975491343,675.8089804316564,709.3952999854121,736.0849948633991,753.9330601963449,749.9995458042607,731.8723926789179,713.6800106283322,694.4123267367037,676.7613421181468,663.084810540375,650.2641700735918,639.1679982514252,631.2977488822899,626.3756374293063,624.9046626906525,626.9222590701437,631.4804184818757,637.9302284571863,645.7184787116953,654.1215784593394,662.6839269981267,671.0355300761962,678.7780175459976
Brick clay,4122593.5832203235,3810953.918814732,3765480.2217755513,4515408.052875236,4596357.5792541765,4808348.7232657615,4744078.164001092,4734615.652196591,4853682.862536881,4941632.836401802,4971187.864708707,4987402.306932665,4969947.464290341,4876506.232254473,4765269.720168879,4687256.322665827,4647645.854751933,4603620.239618158,4566280.588037328,4526596.273532562,4534060.553388534,4528163.040470754,4499446.114024179,4496817.207625476,4502153.471361691,4514479.675209958,4524576.82529598,4549607.217129673,4560650.05037091,4568873.559711035,4578915.31198968
Built up roofing,101466.60297713346,86691.77314758916,85120.44575435895,113274.32433812245,115741.00222465917,120209.32193861157,119145.53162936315,119263.61945665779,121536.40281883048,122759.57411952133,122442.27080447033,122054.92022237912,121614.88227932845,119495.82227849776,116825.66555438633,115257.04605432556,114760.79500793882,113880.2779848634,113152.12261688069,112288.60491584733,112852.99248460002,112958.14992665226,112076.06065058707,111888.62726978713,111857.39439101686,111937.8623096363,111854.0034807155,112091.78440180517,111930.33443900748,111631.07257501691,111429.34714341821
CMU,4833588.8370832335,4802802.274765348,4843983.100386867,5566764.326127522,5718604.926363306,6084570.698457758,5945180.811214408,5895017.207898791,6109981.748728588,6314056.8507833555,6450271.975676416,6539793.214764401,6512107.473721601,6372311.455660479,6220608.681025808,6085705.92754616,5983516.0839555655,5896555.542900331,5817895.104928204,5745058.638811765,5715915.107269858,5689903.470067551,5665423.536339454,5672771.077986372,5696161.852244493,5732616.696350655,5773856.594849035,5828847.9108499475,5874914.918681477,5918899.35486098,5961267.760991147
Carpet,81008.03192189986,71613.07550187115,69557.6656509916,88595.94361183929,89874.81366421143,93122.05601787764,92433.22632575835,92622.81156823602,94351.56115947892,95218.7078701708,94897.10957800079,94587.66378174418,94319.10319900498,92731.7243091439,90700.12486271453,89546.7686299167,89276.10951353029,88717.42461868185,88286.54977899275,87730.60596554348,88250.63537717533,88339.38746550442,87688.88272465713,87561.63220726048,87538.02333345707,87609.22279838371,87563.28417417879,87839.08263486112,87769.53353224549,87623.85546192917,87551.74064988528
Cast bronze,3500.886659172855,3731.4120720341734,3803.86674711563,3453.3913309692,3600.810167532676,3905.4133884328403,3775.829910285055,3717.291034702926,3898.61875076949,4092.7230298544077,4247.06816972609,4350.4207323215,4328.0940596681885,4223.848297568508,4119.208353387075,4008.343789272314,3906.7932941962044,3828.171082302617,3754.4772539482187,3690.728460329715,3645.5977142709526,3617.4855503560148,3609.3015485917495,3621.267068334507,3647.910869924557,3685.4878156168675,3730.804426831463,3779.6815681644707,3829.4873312324526,3878.0837584893825,3923.1680032987533
Ceramic tile,126187.11737533651,122130.213344315,118060.70115777258,146974.98336142855,149033.76465024086,156094.16641191609,153724.14454340472,153204.15969399575,157255.23373923026,160385.0113338823,161652.42419298453,162399.05822422446,161755.20139453025,158556.84332585093,154826.23093853964,152071.67310623886,150540.13657705218,148990.0079972307,147670.48547668994,146300.4188528607,146332.37338189664,145948.06808403356,145013.04486366714,144890.36516395689,145029.88266905711,145421.18999776314,145787.11683776943,146689.06536601958,147140.07475453324,147541.67785426043,147978.18755541823
Cladding - other,24271.690442264575,25827.699517041267,26310.304812147333,29871.937893216913,31092.07649705169,33662.77752809862,32488.403159383022,31928.25520601805,33426.65152540256,35029.08101497778,36286.123506749886,37103.75949526699,36848.39351087893,35897.55793394583,34946.566747340665,33946.06133560245,33027.67870629703,32305.892176509566,31628.04358262446,31036.092686664077,30602.404297507233,30312.749506119166,30190.705986972273,30237.243368419666,30405.869084863873,30664.774163147024,30986.959612403887,31337.434014731058,31694.26346263495,32039.743476779204,32354.941439015078
Closed cell spray polyurethane foam,73796.37734066178,76568.1291631672,74499.437830226,82167.29026700655,84574.76490071735,89914.56291004493,87854.18048951973,87101.34355407499,90177.65946481936,93071.73700917097,94951.95605609239,96155.52716301329,95698.33440184793,93617.3523258417,91354.48879691688,89365.3459432062,87860.90529401015,86549.48797185443,85357.64760247829,84248.22443887542,83816.73384782791,83433.62155254143,83020.70595182427,83083.37619226068,83380.12279271505,83859.28338749854,84393.47088966242,85107.84899170704,85692.2131340887,86231.22713693694,86752.30624968467
Coatings - other,48028.59425047879,51036.17969766786,51073.981012085955,53300.36702960309,55079.071708150754,59179.67167124551,57565.26845605097,56919.52026303678,59383.88865027996,61892.90164135618,63774.4472864966,65048.37030355139,64793.19866714671,63359.33111934573,61861.86312569246,60395.75216114955,59164.41660014633,58187.76311986957,57289.788205898905,56493.6108711493,56043.34353947981,55729.29141010881,55587.38813047554,55752.98243771646,56108.56137933322,56615.32592028096,57209.594182725064,57911.42734708658,58573.21416791462,59222.281790015695,59835.76952957409
